titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"AdminDEP - Módulo de Estágios","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Propagsom 2.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Controle da Poluição"
"RADDAR","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"VIGOREASY","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Medicina Preventiva"
"VOICECARBO: APP DE CONTAGEM DE CARBOIDRATOS POR VOZ","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Trilhou","Registro de Software","CENTRO DE CIENCIAS SOCIAIS APLICADAS","Ciências Sociais Aplicadas","Biblioteconomia"
"BIOPRODUTOS A BASE DE Citrus, MÉTODO DE OBTENÇÃO E USO COMO ESTRATÉGIA TERAPEUTICA PARA O CONTROLE DE DISLIPIDEMIA","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Nutrição"
"FILME DE PARTÍCULAS À BASE DE HIDRÓXIDO DE CÁLCIO PARA APLICAÇÃO FOLIAR, VISANDO A PROTEÇÃO DE PLANTAS","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Fisiologia de Plantas Cultivadas"
"IntegRAS","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Saúde Pública"
"Aplicação da escória de forno elétrico a arco como pigmento em vidrados para placas cerâmicas de revestimento","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Cerâmicos"
"COMPOSIÇÕES FARMACÊUTICAS CONTENDO SISTEMA MICELAR PARA TRATAMENTO DAS LEISHMANIOSES, OBTENÇÃO E USO","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Protozoologia Parasitária Humana"
"Registro de marca do CENTRO DE COLEÇÕES BIOLÓGICAS DA UFS - CCB/UFS","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Biologia Geral"
"Registro da marca da COLEÇÃO DE CULTURA DE MICRO-ORGANISMOS DE SERGIPE - CCMO/SE","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Microbiologia Aplicada"
"Registro da marca do Laboratório de Microbiologia Aplicada - LMA","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Microbiologia Aplicada"
"Marca da COMISSÃO INTERNA DE BIOSSEGURANÇA DA UFS  CiBIO/UFS.","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Microbiologia Industrial e de Fermentação"
"PICS- PROGRAMA DE INDUÇÃO A CRIAÇÃO DE STARTUPS","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Outra","Tecnologia e Inovação"
"FILMES ATIVOS BIODEGRADÁVEIS A BASE DE QUITOSANA INCORPORADOS COM EXTRATO DE JATOBÁ E MÉTODO DE PRODUÇÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência e Tecnologia de Alimentos"
"MILICÁPSULAS DE HIDROGEL E COLÁGENO EXTRAÍDO DA MEMBRANA DA CASCA DO  OVO DE AVES, PRODUZIDAS PELO PROCESSO DE GELIFICAÇÃO IÔNICA","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Tecnologia de Produtos de Origem Animal"
"Vidrados com formulação constituída de pó de exaustão do alto forno e pasta serigráfica para aplicação em placas cerâmicas de revestimento","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Cerâmicos"
"MICRONEWS- App para cuidado em microcefalia","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Análise Toxicológica"
"NANOCÁPSULAS POLIMÉRICAS DE NÚCLEO LIPÍDICO CONTENDO &#945;-TERPINEOL, MÉTODO DE OBTENÇÃO E FORMA DE USO COMO ESTRATÉGIA TERAPÊUTICA PARA A DOR","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Invenção","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"MILICAPSULAS DE HIDROGEL COM EXTRATO DA FLOR CLITÓRIA TERNÁTEA L. AZUL PELO  PROCESSO DE GELIFICAÇÃO IÔNICA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"PROCESSO DE PRODUÇÃO DE NANOPARTÍCULAS DE MAGNETITA DOPADA COM MANGANÊS USANDO SEIVA DE BROSIMUM PARINARIODIDES DUCKE COMO AGENTE QUELANTE E SEU POTENCIAL PARA FOTOCATÁLISE","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física da Matéria Condensada"
"AVALchek","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"PERFILÓGRAFO DE ALTO RENDIMENTO PARA AVALIAR PERFIL LONGITUDINAL DE SUPERFÍCIES TRAFEGÁVEIS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Pavimentos"
"Agrupe","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Fantoma de mama para uso em ultrassom","Patente","CAMPUS DO SERTÃO","Ciências Exatas e da Terra","Propriedades Mecânicas e Acústicas da Matéria Condensada"
"MentoriApp","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"csv2grade v1","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"Produto para soluções de lentes de contato para prevenção de ceratite amebiana","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"SEPATENT","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Análise de Dados"
"Co.nnect","Marca","CENTRO DE CIENCIAS SOCIAIS APLICADAS","Ciências Sociais Aplicadas","Administração de Recursos Humanos"
"SÍNTESE DE NANO HÍBRIDO MAGNÉTICO À BASE DE GRAFENO, FERRITA E ÁGUA COM ELEVADO TEOR DE MATÉRIA ORGÂNICA NATURAL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Análise de Traços e Química Ambiental"
"SEQUESTRANTES À BASE DE UREIA, GLICOSILUREIA E FORMULAÇÕES PARA DESSULFURIZAÇÃO DE PETRÓLEO E DERIVADOS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Química Analítica"
"BYS  By Your Side","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Saúde Pública"
"Plataforma Instável Compacta para Avaliação da Estabilidade do Tronco","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"Visavi","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"FENOLCALC","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Nutrição"
"MANDACARU - Sistema para suporte à avaliação do consumo alimentar e cálculo de receitas","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Análise Nutricional de População"
"DISPOSITIVO ABSORVEDOR DE EXSUDADO PARA PRODUTOS  ALIMENTÍCIOS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Embalagens de Produtos Alimentares"
"FORMULAÇÃO ESTABILIZADA POR TENSOATIVO COMO VEÍCULO PARA O TORSYL INDOL PARA O CONTROLE LARVICIDA DO AEDES AEGYPTI","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Análise e Controle de Medicamentos"
"NatureSpe","Registro de Software","COLÉGIO DE APLICAÇÃO","Outra","Ciências Ambientais"
"X9","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Lógicas e Semântica de Programas"
"ArchMERA","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Hardware"
"Registro Marca DiaVision","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"Vitrine do Empreendedor","Marca","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Ciências Sociais Aplicadas","Relações Públicas e Propaganda"
"Hidrogel termorreversível contendo carvacrol com ação antileishmania","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"DENSITÔMETRO ÓPTICO DE TRANSMISSÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part."
"Amamenta-SE","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Enfermagem Obstétrica"
"ACADM - PROTOCOLO ON-LINE DE AVALIAÇÃO NEUROFUNCIONAL PARA COMUNICAÇÃO ALTERNATIVA E AMPLIADA","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fonoaudiologia"
"Sistema de Apoio à Dispensação Farmacêutica para Sintomas Menores (SADFSM)","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Farmácia"
"APP DIABETES(Sistema de apoio à decisão para DM2)","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Enfermagem de Saúde Pública"
"APP HIPERTENSÃO (Sistema de apoio à decisão para hipertensão arterial sistêmica)","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Enfermagem de Saúde Pública"
"ludii.co","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"SCAFFOLD MAGNÉTICO QUITOSANA-HIDROXIAPATITA-MANGANITA DE LANTÂNIO PARA TERAPIA DE PERDAS ÓSSEAS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Cerâmicos"
"Poxim","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Arquitetura de Sistemas de Computação"
"Marca Spirandi","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"CREME DE QUEIJO COALHO COM MICROCÁPSULAS DE TOMATE E PROBIÓTICOS","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Tecnologia de Produtos de Origem Animal"
"DISPOSITIVO DE COLETA DE ENERGIA EM LINHAS DE ALTA TENSÃO COM SISTEMA OPTOELETRÔNICO DE CONVERSÃO DE ENERGIA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica"
"Suplemento alimentar de pólen fermentado e seu processo de obtenção","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Genética Molecular e de Microorganismos"
"PoximSim","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Arquitetura de Sistemas de Computação"
"APRENDANATUR","Marca","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Outra","Ciências Ambientais"
"Dispositivo de desligamento multifásico de rede de distribuição acionado pela ejeção de cartucho em chaves fusíveis","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica"
"RODO UVC PARA DESINFECÇÃO DE SUPERFÍCIES","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part."
"VIDRO DE ÓXIDO DE BORO DOPADO COM NITRATO DE PRATA PARA USO EM DOSIMETRIA OSL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part."
"SOLUÇÃO E PROCESSO PARA CONSERVAÇÃO DE SEMENTES RECALCITRANTES","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Produção e Beneficiamento de Sementes"
"MonitoraSUS - Sistema Nacional de Acompanhamento de Doenças Infectocontagiosas","Registro de Software","CAMPUS PROFESSOR ALBERTO CARVALHO","Ciências da Saúde","Epidemiologia"
"FILMES BIODEGRADÁVEIS ANTIOXIDANTES E ANTIMICROBIANOS INCORPORADOS COM EXTRATO DA CASCA DO JAMELÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Embalagens de Produtos Alimentares"
"Biscoito amanteigado enriquecido com corante de jenipapo","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência e Tecnologia de Alimentos"
"Cerveja artesanal com adição de farinha de banana","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência e Tecnologia de Alimentos"
"FORMULAÇÃO COSMÉTICA NANOSERUM PARA CLAREAMENTO DA PELE","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"Clio","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"Sistema para Ventilação Não Invasiva Baseado em Máscara Facial","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"Q-Avalia","Registro de Software","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Ciências Sociais Aplicadas","Organização Editorial de Jornais"
"REDE COLABORATIVA DE TURISMO CRIATIVO","Marca","CENTRO DE CIENCIAS SOCIAIS APLICADAS","Ciências Sociais Aplicadas","Turismo"
"AMBIENTAL TOUR","Marca","CENTRO DE CIENCIAS SOCIAIS APLICADAS","Ciências Sociais Aplicadas","Turismo"
"Softweezer 1.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"Bebida láctea fermentada com propriedades antioxidantes sabor jabuticaba (Myrciaria spp), tendo o soro do leite substituído totalmente pelo leitelho.","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Processos Bioquímicos"
"MIOCAA","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fonoaudiologia"
"PROCESSO DE OBTENÇÃO DE UM CORANTE AZUL NATURAL DE FLORES DE CLITÓRIA TERNÁTEA L. AZUL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"USO DE RESÍDUO DE ABACAXI COMO FONTE ALTERNATIVA DE POTÁSSIO EM PROCESSO DE OBTENÇÃO DE BIOSSURFACTANTES","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Química"
"PRÉ-TRATAMENTO DE BIOMASSAS PELO MÉTODO ORGANOSOLV COM GLICEROL E FeCl3 PARA OBTENÇÃO DE AÇÚCARES REDUTORES E LIGNINA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Análise de Traços e Química Ambiental"
"BYS - By Your Side","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia de Produção"
"Pasta de coco enriquecida com farinha de chia","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"Açúcar de resíduo de pólen apícola e processo de obtenção","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Genética Vegetal"
"MEMBRANA DE VIDRO BIOATIVO / PVA PARA REPARO TECIDUAL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Cerâmicos"
"Fórceps calibrado para algometria de pressão","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"Madeiras comerciais do Brasil: Guia para identificação por caracteres gerais e macroscópicos","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Botânica"
"PROCESSO DE PRODUÇÃO DE ÂNODOS DE ÓXIDOS METÁLICOS SINTETIZADOS UTILIZANDO AQUECIMENTO A LASER","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física da Matéria Condensada"
"SIUR","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"JudApp","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"Descovid-SE","Registro de Software","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Lingüística, Letras e Artes","Lingüística Aplicada"
"Compósitos de subprodutos da agroindústria com aglutinantes naturais","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Microbiologia Agrícola"
"SEpatent","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Desenvolvimento de Produto"
"EXTRATOS ENRIQUECIDOS DE COMPOSTOS FENÓLICOS TOTAIS E FLAVONOIDES OBTIDOS A PARTIR DA CASCA E MISTURA DE CASCA E SEMENTES DE NONI (Morinda citrifolia L.) SUBMETIDAS À PROCESSO FERMENTATIVO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"COMPLEXO DE INCLUSÃO CONTENDO MONOTERPENO E HIDROXIPROPIL-&#946;-CICLODEXTRINA, MÉTODO DE OBTENÇÃO E ATIVIDADE CARDIOVASCULAR","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Farmacologia Geral"
"POTENCIAL BIOATIVO DE EXTRATOS DA CASCA DO FRUTO DO MANDACARU (Cereus jamacaru D.C)","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência de Alimentos"
"HU Kids","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"MATERIAL GRANULAR CIMENTADO COM ADIÇÃO DE FIBRAS, NATURAIS OU SINTÉTICAS, PARA USO NA PAVIMENTAÇÃO","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Pavimentos"
"Risco de dor lombar","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Ergonomia"
